,theme_id,theme_name,parent_id,set_name,year,num_parts
9397,155,Modular Buildings,,Grand Emporium,2010,2187
9398,315,Atlantis,,Gateway of the Squid,2010,356
9399,503,Key Chain,501.0,Onaconda Farr Key Chain,2010,0
9400,315,Atlantis,,Typhoon Turbo Sub,2010,198
9401,503,Key Chain,501.0,Nute Gunray Key Chain,2010,0
9402,315,Atlantis,,Seabed Scavenger,2010,120
9403,315,Atlantis,,Guardian of the Deep,2010,145
9404,503,Key Chain,501.0,Wicket Key Chain,2010,0
9405,501,Gear,,Birthday Party Kit,2010,40
9406,315,Atlantis,,Wreck Raider,2010,65
9407,275,Toy Story,,Woody's Camp Out,2010,18
9408,315,Atlantis,,Atlantis Exploration HQ,2010,475
9409,501,Gear,,"Magnet Set, Atlantis",2010,21
9410,275,Toy Story,,Army Jeep,2010,37
9411,503,Key Chain,501.0,R4-P44 Key Chain,2010,0
9412,501,Gear,,Harpoon Blaster,2010,0
9413,503,Key Chain,501.0,Biker Scout Key Chain,2010,0
9414,632,Town,504.0,Front Loader,2010,9
9415,501,Gear,,Evolution of the Minifigure T-Shirt,2010,0
9416,501,Gear,,Atlantis Water Gun,2010,0
9417,501,Gear,,Minifig Display Box,2010,15
9418,158,Star Wars,,Imperial Shuttle,2010,70
9419,501,Gear,,Star Wars Magnet Set,2010,16
9420,501,Gear,,Trident,2010,0
9421,501,Gear,,Star Wars Magnet Set,2010,14
9422,501,Gear,,Atlantis Shield,2010,0
9423,501,Gear,,Atlantis Sword,2010,0
9424,315,Atlantis,,Sea Jet,2010,24
9425,501,Gear,,Large Tote,2011,0
9426,230,Halloween,206.0,Halloween Set,2011,71
9427,230,Halloween,206.0,Pumpkin,2011,40
9428,497,Books,,Ninjago: Spinning Power,2011,8
9429,497,Books,,City: Emergency Rescue,2011,9
9430,502,Game,501.0,Creationary Booster Pack,2011,30
9431,230,Halloween,206.0,Spiders Set,2011,54
9432,501,Gear,,Star Wars III: The Clone Wars - Wii,2011,0
9433,227,Christmas,206.0,Holiday Set 1 of 2,2011,98
9434,59,Harbor,52.0,Harbor,2011,552
9435,632,Town,504.0,Policeman,2011,4
9436,497,Books,,City: Police Chase,2011,8
9437,497,Books,,City: Space Mission,2011,7
9438,501,Gear,,LEGO Star Wars III: The Clone Wars,2011,0
9439,23,Basic Model,22.0,Panda,2011,61
9440,599,LEGO Exclusive,,LOM Moulding,2011,174
9441,497,Books,,City: Brickmaster,2011,146
9442,501,Gear,,2012 US Calendar,2011,0
9443,227,Christmas,206.0,Wreath,2011,50
9444,501,Gear,,Classic Gift Wrap,2011,0
9445,227,Christmas,206.0,Holiday Set 2 of 2,2011,117
9446,501,Gear,,Portable Storage Case with Baseplate,2011,1
9447,501,Gear,,Copenhagen LEGO Store Magnet [Male],2011,6
9448,501,Gear,,I (love) NY Figure Magnet,2011,6
9449,502,Game,501.0,Heroica Character Cards Booster Pack,2011,0
9450,501,Gear,,Star Wars III: The Clone Wars - PSP,2011,0
